Name,FantPts MEDIAN,FantPts SKEW,FantPts +SD,FantPts -SD,FantPts 30 Percentile,Last 5 Games,Rec XS Pts
Emmanuel Sanders,6.050000000000001,-1.4202702702702688,13.55373128236205,1.3868092581784897,,"[12.200000000000001, 9.3, 11.600000000000001, 1.8, 7.5]",2.43
Randall Cobb,5.9,-1.8399999999999999,13.624780808262134,1.8552191917378664,3.6,"[4.7, 3.6, 15.5, 5.9, 2.3000000000000003]",0.5
Sammy Watkins,5.6000000000000005,-2.5524999999999993,15.747684600384908,0.5573153996150921,,"[8.4, 4.3, 6.2, 1.1, 14.5]",1.3
Golden Tate,5.6000000000000005,-1.6125827814569522,13.000573850740107,1.4245917121737985,,"[4.2, 2.0, 3.6, 4.7, 12.8]",-0.14
John Brown,5.500000000000001,-1.4571428571428582,12.630905920717801,1.283379793567918,2.7,"[4.2, 0.0, 14.200000000000001, 13.0, 11.600000000000001]",3.1
Tyler Lockett,5.45,-2.116666666666667,14.046502551345345,1.0868307819879908,3.2900000000000005,"[4.4, 3.9000000000000004, 28.0, 12.7, 9.200000000000001]",6.19
Sterling Shepard,5.4,-2.0618181818181824,12.451269680993844,2.4723666826425212,3.7,"[3.5000000000000004, 4.7, 3.9000000000000004, 13.600000000000001, 11.100000000000001]",1.96
Adam Thielen,5.4,-2.034065934065935,14.841197929352937,0.02693393877893424,,"[20.3, 18.2, 9.3, 3.1, 23.0]",9.38
Dede Westbrook,5.1000000000000005,-1.0153846153846144,10.764580270862558,1.4661889599066722,2.74,"[0.4, 13.2, 0.5, 2.1, 2.5]",-1.36
Mike Williams,5.1000000000000005,-1.3422222222222198,12.643119843787288,0.241324600657153,1.8399999999999999,"[22.9, 1.7000000000000002, 1.4000000000000001, 6.9, 3.8000000000000003]",2.24
Jamison Crowder,5.0,-1.912,12.412809768398478,1.4111902316015223,2.9000000000000004,"[17.6, 10.4, 17.5, 12.600000000000001, 6.0]",7.82
Robby Anderson,4.9,-2.3507462686567155,13.521538909442718,0.9799536278707146,2.7,"[11.500000000000002, 9.9, 5.5, 10.9, 17.4]",6.14
Anthony Miller,4.65,-0.7222222222222223,10.52761391365203,0.2168305307924152,1.25,"[2.8000000000000003, 1.6, 11.0, 0.0, 13.600000000000001]",1.15
Will Fuller,4.4,-3.4914893617021283,15.758697854726224,0.024280868678033585,2.3800000000000003,"[11.8, 16.8, 11.4, 0.0, 11.200000000000001]",5.84
Curtis Samuel,4.4,-1.6465116279069765,10.861436284253132,1.2315869715608212,3.04,"[6.4, 4.800000000000001, 5.2, 3.9000000000000004, 4.300000000000001]",0.52
DJ Chark,4.2,-2.74,14.577773642030547,-0.6977736420305458,1.7399999999999998,"[1.6, 21.5, 8.4, 8.5, 3.4000000000000004]",4.48
Adam Humphries,4.1000000000000005,-0.6933333333333334,8.648527559636662,0.9381391070300054,2.1399999999999997,"[4.1000000000000005, 10.8, 4.7, 7.3, 2.0]",1.68
Cole Beasley,4.050000000000001,-1.0908333333333333,9.982988833516615,0.29867783315005436,,"[5.300000000000001, 9.2, 10.0, 7.0, 5.800000000000001]",3.41
Mohamed Sanu,4.05,-1.4836206896551722,10.037743322272448,1.0294980570378973,,"[nan, 0.9, nan, 3.5, 2.4000000000000004]",
Corey Davis,4.0,-1.6622222222222227,10.779185494643976,0.5452589498004707,2.9,"[6.9, 9.6, 10.100000000000001, 4.4, 4.0]",3.0
Keelan Cole,4.0,-0.9530612244897965,10.123212013748603,-0.21708956476901076,,"[8.7, 4.6000000000000005, 4.3, 11.8, 10.7]",4.02
Kenny Stills,3.9000000000000004,-2.3776785714285715,12.227464089879865,0.327893052977279,1.9599999999999995,"[1.4000000000000001, 9.9, 3.5, 1.6, 0.0]",-0.62
Willie Snead,3.8500000000000005,-1.1923076923076916,9.820519041369566,0.2640963432458179,1.8199999999999996,"[0.0, 2.0, 0.4, 2.9000000000000004, 12.4]",-0.31
Danny Amendola,3.7,-1.1223776223776225,9.110937897887204,0.5338173468680418,,"[5.7, 1.8, 2.1, 8.1, 1.6]",0.16
